"name","pval","samplesize","degree","TPR","TDR","FPR","ACC","SHD"
"cg50_2_16",0.005,200,2,0.529411764705882,0.931034482758621,0.00170357751277683,0.978775510204082,61
"cg50_2_16",0.005,2000,2,0.96078431372549,0.98,0.000851788756388416,0.997551020408163,34
"cg50_2_16",0.05,200,2,0.666666666666667,0.829268292682927,0.00596252129471891,0.980408163265306,54
"cg50_2_16",0.05,2000,2,0.980392156862745,0.793650793650794,0.0110732538330494,0.988571428571429,43
"cg50_2_17",0.005,200,2,0.761904761904762,1,0,0.987755102040816,45
"cg50_2_17",0.005,2000,2,0.952380952380952,1,0,0.997551020408163,20
"cg50_2_17",0.05,200,2,0.888888888888889,0.96551724137931,0.00172117039586919,0.99265306122449,31
"cg50_2_17",0.05,2000,2,0.984126984126984,0.925373134328358,0.00430292598967298,0.995102040816327,20
"cg50_2_18",0.005,200,2,0.910714285714286,1,0,0.995918367346939,30
"cg50_2_18",0.005,2000,2,0.982142857142857,1,0,0.999183673469388,22
"cg50_2_18",0.05,200,2,0.964285714285714,0.947368421052632,0.00256629597946963,0.995918367346939,28
"cg50_2_18",0.05,2000,2,0.982142857142857,0.932203389830508,0.00342172797262618,0.995918367346939,25
"cg50_2_19",0.005,200,2,0.818181818181818,0.972972972972973,0.000846740050804403,0.99265306122449,33
"cg50_2_19",0.005,2000,2,0.977272727272727,1,0,0.999183673469388,19
"cg50_2_19",0.05,200,2,0.909090909090909,0.909090909090909,0.00338696020321761,0.993469387755102,26
"cg50_2_19",0.05,2000,2,0.977272727272727,0.877551020408163,0.00508044030482642,0.994285714285714,27
"cg50_2_20",0.005,200,2,0.8125,1,0,0.990204081632653,42
"cg50_2_20",0.005,2000,2,0.9375,1,0,0.996734693877551,25
"cg50_2_20",0.05,200,2,0.828125,0.883333333333333,0.00602928509905254,0.98530612244898,46
"cg50_2_20",0.05,2000,2,0.96875,0.96875,0.00172265288544358,0.996734693877551,22
"cg50_2_21",0.005,200,2,0.85,1,0,0.995102040816327,26
"cg50_2_21",0.005,2000,2,1,0.975609756097561,0.000843881856540084,0.999183673469388,12
"cg50_2_21",0.05,200,2,0.95,0.808510638297872,0.00759493670886076,0.991020408163265,29
"cg50_2_21",0.05,2000,2,1,0.727272727272727,0.0126582278481013,0.987755102040816,25
"cg50_2_22",0.005,200,2,0.792452830188679,1,0,0.991020408163265,41
"cg50_2_22",0.005,2000,2,1,1,0,1,16
"cg50_2_22",0.05,200,2,0.849056603773585,0.865384615384615,0.00597269624573379,0.987755102040816,39
"cg50_2_22",0.05,2000,2,1,0.898305084745763,0.00511945392491468,0.995102040816327,21
"cg50_2_23",0.005,200,2,0.9,1,0,0.995102040816327,36
"cg50_2_23",0.005,2000,2,0.95,0.966101694915254,0.00171673819742489,0.995918367346939,26
"cg50_2_23",0.05,200,2,0.883333333333333,0.946428571428571,0.00257510729613734,0.991836734693878,42
"cg50_2_23",0.05,2000,2,0.95,0.95,0.00257510729613734,0.995102040816327,30
"cg50_2_24",0.005,200,2,0.785714285714286,1,0,0.99265306122449,38
"cg50_2_24",0.005,2000,2,0.928571428571429,0.975,0.00084530853761623,0.996734693877551,20
"cg50_2_24",0.05,200,2,0.928571428571429,0.78,0.00929839391377853,0.988571428571429,30
"cg50_2_24",0.05,2000,2,0.952380952380952,0.851063829787234,0.00591715976331361,0.99265306122449,26
"cg50_2_25",0.005,200,2,0.767441860465116,0.970588235294118,0.000846023688663283,0.991020408163265,27
"cg50_2_25",0.005,2000,2,0.953488372093023,0.931818181818182,0.00253807106598985,0.995918367346939,19
"cg50_2_25",0.05,200,2,0.837209302325581,0.75,0.0101522842639594,0.984489795918367,35
"cg50_2_25",0.05,2000,2,0.953488372093023,0.661290322580645,0.0177664974619289,0.981224489795918,39
"cg50_2_26",0.005,200,2,0.886363636363636,1,0,0.995918367346939,31
"cg50_2_26",0.005,2000,2,1,1,0,1,20
"cg50_2_26",0.05,200,2,0.931818181818182,0.911111111111111,0.00338696020321761,0.994285714285714,29
"cg50_2_26",0.05,2000,2,0.977272727272727,0.843137254901961,0.00677392040643522,0.99265306122449,29
"cg50_2_27",0.005,200,2,0.722222222222222,0.975,0.00085397096498719,0.986938775510204,50
"cg50_2_27",0.005,2000,2,0.962962962962963,1,0,0.998367346938775,18
"cg50_2_27",0.05,200,2,0.814814814814815,0.846153846153846,0.00683176771989752,0.98530612244898,44
"cg50_2_27",0.05,2000,2,0.962962962962963,0.928571428571429,0.00341588385994876,0.995102040816327,20
"cg50_2_28",0.005,200,2,0.86,0.977272727272727,0.000851063829787234,0.993469387755102,32
"cg50_2_28",0.005,2000,2,1,1,0,1,18
"cg50_2_28",0.05,200,2,0.9,0.918367346938776,0.00340425531914894,0.99265306122449,33
"cg50_2_28",0.05,2000,2,1,0.943396226415094,0.0025531914893617,0.997551020408163,21
"cg50_2_29",0.005,200,2,0.792452830188679,1,0,0.991020408163265,38
"cg50_2_29",0.005,2000,2,1,0.981481481481482,0.000853242320819113,0.999183673469388,15
"cg50_2_29",0.05,200,2,0.943396226415094,0.892857142857143,0.00511945392491468,0.99265306122449,30
"cg50_2_29",0.05,2000,2,1,0.854838709677419,0.00767918088737201,0.99265306122449,27
"cg50_2_30",0.005,200,2,0.842105263157895,1,0,0.99265306122449,35
"cg50_2_30",0.005,2000,2,1,1,0,1,13
"cg50_2_30",0.05,200,2,0.894736842105263,0.962264150943396,0.00171232876712329,0.993469387755102,30
"cg50_2_30",0.05,2000,2,1,0.966101694915254,0.00171232876712329,0.998367346938775,15
"cg50_3_1",0.005,200,3,0.697368421052632,1,0,0.981224489795918,65
"cg50_3_1",0.005,2000,3,0.934210526315789,1,0,0.995918367346939,26
"cg50_3_1",0.05,200,3,0.802631578947368,0.938461538461538,0.00348128807658834,0.984489795918367,56
"cg50_3_1",0.05,2000,3,0.960526315789474,0.948051948051948,0.00348128807658834,0.994285714285714,26
"cg50_3_2",0.005,200,3,0.637931034482759,0.973684210526316,0.000856898029134533,0.982040816326531,60
"cg50_3_2",0.005,2000,3,0.913793103448276,1,0,0.995918367346939,27
"cg50_3_2",0.05,200,3,0.862068965517241,0.961538461538462,0.00171379605826907,0.991836734693878,38
"cg50_3_2",0.05,2000,3,0.896551724137931,0.852459016393443,0.0077120822622108,0.987755102040816,35
"cg50_3_3",0.005,200,3,0.6,0.981818181818182,0.000881057268722467,0.969795918367347,97
"cg50_3_3",0.005,2000,3,0.866666666666667,0.962962962962963,0.0026431718061674,0.987755102040816,41
"cg50_3_3",0.05,200,3,0.677777777777778,0.968253968253968,0.00176211453744493,0.97469387755102,77
"cg50_3_3",0.05,2000,3,0.844444444444444,0.894117647058824,0.0079295154185022,0.981224489795918,50
"cg50_3_4",0.005,200,3,0.742857142857143,0.981132075471698,0.000865800865800866,0.984489795918367,58
"cg50_3_4",0.005,2000,3,0.971428571428571,0.985507246376812,0.000865800865800866,0.997551020408163,19
"cg50_3_4",0.05,200,3,0.828571428571429,0.950819672131147,0.0025974025974026,0.987755102040816,40
"cg50_3_4",0.05,2000,3,0.985714285714286,0.92,0.00519480519480519,0.994285714285714,18
"cg50_3_5",0.005,200,3,0.622222222222222,1,0,0.972244897959184,86
"cg50_3_5",0.005,2000,3,0.888888888888889,1,0,0.991836734693878,41
"cg50_3_5",0.05,200,3,0.744444444444444,0.957142857142857,0.0026431718061674,0.978775510204082,71
"cg50_3_5",0.05,2000,3,0.888888888888889,0.987654320987654,0.000881057268722467,0.991020408163265,37
"cg50_3_6",0.005,200,3,0.580645161290323,0.947368421052632,0.00265017667844523,0.965714285714286,98
"cg50_3_6",0.005,2000,3,0.752688172043011,1,0,0.981224489795918,70
