name,pval,samplesize,degree,TPR,TDR,FPR,ACC,SHD
cg50_2_1,0.05,200,2,0.0,0.0,0.013509787703336091,0.9864902122966639,96.0
cg50_2_1,0.05,2000,2,0.0,0.0,0.015439757375241246,0.9845602426247587,102.0
cg50_2_1,0.005,200,2,0.0,0.0,0.009925558312655087,0.9868095630667766,83.0
cg50_2_1,0.005,2000,2,0.0,0.0,0.013234077750206782,0.9867659222497932,94.0
cg50_2_2,0.05,200,2,1.0,0.08163265306122448,0.012410369553226696,0.987603305785124,88.0
cg50_2_2,0.05,2000,2,1.0,0.0392156862745098,0.013513513513513514,0.9864939360529217,92.0
cg50_2_2,0.005,200,2,0.1111111111111111,0.024390243902439025,0.011031439602868174,0.9867950481430536,83.0
cg50_2_2,0.005,2000,2,0.3333333333333333,0.044444444444444446,0.011858797573083288,0.9870594713656388,87.0
cg50_2_3,0.05,200,2,0.4,0.037037037037037035,0.014372581536760642,0.9848192105989512,105.0
cg50_2_3,0.05,2000,2,0.0,0.0,0.016860143725815367,0.9831398562741847,114.0
cg50_2_3,0.005,200,2,0.06666666666666667,0.023255813953488372,0.011608623548922056,0.9845857418111753,96.0
cg50_2_3,0.005,2000,2,0.5,0.017857142857142856,0.015201768933112217,0.9845303867403314,108.0
cg50_2_4,0.05,200,2,1.0,0.03508771929824561,0.015189174261253798,0.9848192105989512,104.0
cg50_2_4,0.05,2000,2,1.0,0.03225806451612903,0.016570008285004142,0.9834391388352194,110.0
cg50_2_4,0.005,200,2,0.1111111111111111,0.021739130434782608,0.012427506213753107,0.9853994490358127,95.0
cg50_2_4,0.005,2000,2,0.5,0.018867924528301886,0.01436067384700359,0.9853712393044438,102.0
cg50_2_5,0.05,200,2,0.8,0.08695652173913043,0.011576626240352812,0.9881640517478668,80.0
cg50_2_5,0.05,2000,2,1.0,0.03773584905660377,0.014057331863285557,0.9859504132231405,87.0
cg50_2_5,0.005,200,2,0.3,0.075,0.010198456449834619,0.9879054425508521,76.0
cg50_2_5,0.005,2000,2,1.0,0.0425531914893617,0.012403528114663727,0.987603305785124,83.0
cg50_2_6,0.05,200,2,0.0,0.0,0.01348747591522158,0.9865125240847784,90.0
cg50_2_6,0.05,2000,2,1.0,0.022222222222222223,0.01211120286264795,0.9878921298844249,84.0
cg50_2_6,0.005,200,2,0.0,0.0,0.011010184420589045,0.9884456671251719,81.0
