"name","pval","samplesize","degree","TPR","TDR","FPR","ACC","SHD"
"cg50_2_14",0.05,200,2,0.865384615384615,0.9,0.00426257459505541,0.990204081632653,33
"cg50_2_14",0.05,2000,2,1,0.945454545454545,0.00255754475703325,0.997551020408163,15
"cg50_2_15",0.005,200,2,0.735294117647059,1,0,0.98530612244898,57
"cg50_2_15",0.005,2000,2,0.838235294117647,0.95,0.00259291270527226,0.988571428571429,47
"cg50_2_15",0.05,200,2,0.779411764705882,1,0,0.987755102040816,49
"cg50_2_15",0.05,2000,2,0.852941176470588,0.920634920634921,0.00432152117545376,0.987755102040816,45
"cg50_2_16",0.005,200,2,0.549019607843137,0.96551724137931,0.000851788756388416,0.980408163265306,56
"cg50_2_16",0.005,2000,2,0.96078431372549,0.98,0.000851788756388416,0.997551020408163,32
"cg50_2_16",0.05,200,2,0.705882352941177,0.818181818181818,0.00681431005110733,0.981224489795918,53
"cg50_2_16",0.05,2000,2,0.980392156862745,0.793650793650794,0.0110732538330494,0.988571428571429,43
"cg50_2_17",0.005,200,2,0.698412698412698,0.977777777777778,0.000860585197934596,0.983673469387755,57
"cg50_2_17",0.005,2000,2,0.920634920634921,1,0,0.995918367346939,28
"cg50_2_17",0.05,200,2,0.777777777777778,0.942307692307692,0.00258175559380379,0.986122448979592,49
"cg50_2_17",0.05,2000,2,0.936507936507937,0.907692307692308,0.00516351118760757,0.991836734693878,32
"cg50_2_18",0.005,200,2,0.892857142857143,1,0,0.995102040816327,33
"cg50_2_18",0.005,2000,2,0.982142857142857,1,0,0.999183673469388,23
"cg50_2_18",0.05,200,2,0.910714285714286,0.980769230769231,0.000855431993156544,0.995102040816327,31
"cg50_2_18",0.05,2000,2,0.982142857142857,0.982142857142857,0.000855431993156544,0.998367346938775,24
"cg50_2_19",0.005,200,2,0.886363636363636,0.975,0.000846740050804403,0.995102040816327,28
"cg50_2_19",0.005,2000,2,0.977272727272727,1,0,0.999183673469388,20
"cg50_2_19",0.05,200,2,0.954545454545455,0.933333333333333,0.00254022015241321,0.995918367346939,25
"cg50_2_19",0.05,2000,2,0.977272727272727,0.895833333333333,0.00423370025402202,0.995102040816327,24
"cg50_2_20",0.005,200,2,0.703125,0.957446808510638,0.00172265288544358,0.982857142857143,63
"cg50_2_20",0.005,2000,2,0.90625,0.920634920634921,0.00430663221360896,0.991020408163265,34
"cg50_2_20",0.05,200,2,0.796875,0.894736842105263,0.00516795865633075,0.984489795918367,50
"cg50_2_20",0.05,2000,2,0.9375,0.9375,0.00344530577088717,0.993469387755102,27
"cg50_2_21",0.005,200,2,0.925,1,0,0.997551020408163,23
"cg50_2_21",0.005,2000,2,1,0.930232558139535,0.00253164556962025,0.997551020408163,15
"cg50_2_21",0.05,200,2,0.975,0.8125,0.00759493670886076,0.991836734693878,26
"cg50_2_21",0.05,2000,2,1,0.784313725490196,0.00928270042194093,0.991020408163265,24
"cg50_2_22",0.005,200,2,0.754716981132076,0.975609756097561,0.000853242320819113,0.988571428571429,45
"cg50_2_22",0.005,2000,2,0.905660377358491,0.941176470588235,0.00255972696245734,0.993469387755102,32
"cg50_2_22",0.05,200,2,0.830188679245283,0.830188679245283,0.00767918088737201,0.98530612244898,44
"cg50_2_22",0.05,2000,2,0.924528301886792,0.875,0.00597269624573379,0.991020408163265,33
"cg50_2_23",0.005,200,2,0.75,0.978260869565217,0.000858369098712446,0.986938775510204,57
"cg50_2_23",0.005,2000,2,0.95,1,0,0.997551020408163,31
"cg50_2_23",0.05,200,2,0.833333333333333,0.925925925925926,0.00343347639484979,0.988571428571429,45
"cg50_2_23",0.05,2000,2,0.95,0.982758620689655,0.000858369098712446,0.996734693877551,31
"cg50_2_24",0.005,200,2,0.738095238095238,1,0,0.991020408163265,42
"cg50_2_24",0.005,2000,2,0.952380952380952,1,0,0.998367346938775,18
"cg50_2_24",0.05,200,2,0.857142857142857,0.765957446808511,0.00929839391377853,0.986122448979592,39
"cg50_2_24",0.05,2000,2,0.952380952380952,0.869565217391304,0.00507185122569738,0.993469387755102,21
"cg50_2_25",0.005,200,2,0.813953488372093,0.972222222222222,0.000846023688663283,0.99265306122449,26
"cg50_2_25",0.005,2000,2,0.953488372093023,0.976190476190476,0.000846023688663283,0.997551020408163,17
"cg50_2_25",0.05,200,2,0.86046511627907,0.755102040816326,0.0101522842639594,0.98530612244898,32
"cg50_2_25",0.05,2000,2,1,0.728813559322034,0.0135363790186125,0.986938775510204,31
"cg50_2_26",0.005,200,2,0.840909090909091,1,0,0.994285714285714,34
"cg50_2_26",0.005,2000,2,0.931818181818182,0.976190476190476,0.000846740050804403,0.996734693877551,26
"cg50_2_26",0.05,200,2,0.886363636363636,0.866666666666667,0.00508044030482642,0.991020408163265,34
"cg50_2_26",0.05,2000,2,0.954545454545455,0.91304347826087,0.00338696020321761,0.995102040816327,27
"cg50_2_27",0.005,200,2,0.722222222222222,0.951219512195122,0.00170794192997438,0.986122448979592,50
"cg50_2_27",0.005,2000,2,0.907407407407407,1,0,0.995918367346939,24
"cg50_2_27",0.05,200,2,0.759259259259259,0.931818181818182,0.00256191289496157,0.986938775510204,44
"cg50_2_27",0.05,2000,2,0.925925925925926,0.943396226415094,0.00256191289496157,0.994285714285714,22
"cg50_2_28",0.005,200,2,0.82,0.976190476190476,0.000851063829787234,0.991836734693878,38
"cg50_2_28",0.005,2000,2,0.98,0.98,0.000851063829787234,0.998367346938775,22
"cg50_2_28",0.05,200,2,0.9,0.9375,0.0025531914893617,0.993469387755102,33
"cg50_2_28",0.05,2000,2,0.98,0.924528301886792,0.00340425531914894,0.995918367346939,25
"cg50_2_29",0.005,200,2,0.905660377358491,1,0,0.995918367346939,28
"cg50_2_29",0.005,2000,2,0.981132075471698,0.962962962962963,0.00170648464163823,0.997551020408163,21
"cg50_2_29",0.05,200,2,0.943396226415094,0.909090909090909,0.00426621160409556,0.993469387755102,28
"cg50_2_29",0.05,2000,2,0.981132075471698,0.866666666666667,0.0068259385665529,0.99265306122449,25
"cg50_2_30",0.005,200,2,0.807017543859649,1,0,0.991020408163265,40
"cg50_2_30",0.005,2000,2,0.982456140350877,0.982456140350877,0.000856164383561644,0.998367346938775,16
"cg50_2_30",0.05,200,2,0.87719298245614,1,0,0.994285714285714,30
"cg50_2_30",0.05,2000,2,0.982456140350877,0.918032786885246,0.00428082191780822,0.995102040816327,18
"cg50_3_1",0.005,200,3,0.684210526315789,1,0,0.980408163265306,65
"cg50_3_1",0.005,2000,3,0.907894736842105,1,0,0.994285714285714,31
"cg50_3_1",0.05,200,3,0.789473684210526,0.952380952380952,0.00261096605744125,0.984489795918367,53
"cg50_3_1",0.05,2000,3,0.934210526315789,0.972602739726027,0.00174064403829417,0.994285714285714,30
"cg50_3_2",0.005,200,3,0.741379310344828,1,0,0.987755102040816,55
"cg50_3_2",0.005,2000,3,0.879310344827586,0.980769230769231,0.000856898029134533,0.993469387755102,34
"cg50_3_2",0.05,200,3,0.810344827586207,0.92156862745098,0.00342759211653813,0.987755102040816,45
"cg50_3_2",0.05,2000,3,0.879310344827586,0.894736842105263,0.0051413881748072,0.989387755102041,38
"cg50_3_3",0.005,200,3,0.488888888888889,0.897959183673469,0.00440528634361234,0.958367346938775,116
"cg50_3_3",0.005,2000,3,0.666666666666667,0.882352941176471,0.00704845814977974,0.968979591836735,84
"cg50_3_3",0.05,200,3,0.566666666666667,0.85,0.0079295154185022,0.960816326530612,106
"cg50_3_3",0.05,2000,3,0.677777777777778,0.859154929577465,0.00881057268722467,0.968163265306122,83
"cg50_3_4",0.005,200,3,0.7,0.98,0.000865800865800866,0.982040816326531,64
"cg50_3_4",0.005,2000,3,0.928571428571429,0.955882352941177,0.0025974025974026,0.993469387755102,28
"cg50_3_4",0.05,200,3,0.842857142857143,0.967213114754098,0.00173160173160173,0.989387755102041,40
"cg50_3_4",0.05,2000,3,0.928571428571429,0.89041095890411,0.00692640692640693,0.989387755102041,31
