"name","pval","samplesize","degree","TPR","TDR","FPR","ACC","SHD"
"cg50_2_1",0.005,200,2,0.729166666666667,0.972222222222222,0.000849617672047579,0.988571428571429,41
"cg50_2_1",0.005,2000,2,0.9375,0.9375,0.00254885301614274,0.995102040816327,20
"cg50_2_1",0.05,200,2,0.833333333333333,0.816326530612245,0.00764655904842821,0.986122448979592,35
"cg50_2_1",0.05,2000,2,0.958333333333333,0.821428571428571,0.00849617672047579,0.990204081632653,24
"cg50_2_2",0.005,200,2,0.836734693877551,1,0,0.993469387755102,36
"cg50_2_2",0.005,2000,2,0.897959183673469,0.977777777777778,0.000850340136054422,0.995102040816327,26
"cg50_2_2",0.05,200,2,0.857142857142857,0.857142857142857,0.00595238095238095,0.988571428571429,39
"cg50_2_2",0.05,2000,2,0.918367346938776,0.882352941176471,0.00510204081632653,0.991836734693878,30
"cg50_2_3",0.005,200,2,0.754385964912281,1,0,0.988571428571429,44
"cg50_2_3",0.005,2000,2,0.964912280701754,0.982142857142857,0.000856164383561644,0.997551020408163,22
"cg50_2_3",0.05,200,2,0.842105263157895,0.888888888888889,0.00513698630136986,0.987755102040816,44
"cg50_2_3",0.05,2000,2,0.964912280701754,0.901639344262295,0.00513698630136986,0.993469387755102,30
"cg50_2_4",0.005,200,2,0.851851851851852,1,0,0.993469387755102,34
"cg50_2_4",0.005,2000,2,0.981481481481482,1,0,0.999183673469388,17
"cg50_2_4",0.05,200,2,0.944444444444444,0.894736842105263,0.00512382578992314,0.99265306122449,28
"cg50_2_4",0.05,2000,2,1,0.870967741935484,0.00683176771989752,0.993469387755102,21
"cg50_2_5",0.005,200,2,0.829787234042553,0.975,0.000848896434634975,0.99265306122449,30
"cg50_2_5",0.005,2000,2,1,1,0,1,16
"cg50_2_5",0.05,200,2,0.893617021276596,0.91304347826087,0.0033955857385399,0.99265306122449,27
"cg50_2_5",0.05,2000,2,1,0.886792452830189,0.00509337860780985,0.995102040816327,22
"cg50_2_6",0.005,200,2,0.857142857142857,0.9,0.00338123415046492,0.991836734693878,29
"cg50_2_6",0.005,2000,2,1,1,0,1,15
"cg50_2_6",0.05,200,2,0.904761904761905,0.775510204081633,0.00929839391377853,0.987755102040816,34
"cg50_2_6",0.05,2000,2,1,0.933333333333333,0.00253592561284869,0.997551020408163,21
"cg50_2_7",0.005,200,2,0.877551020408163,0.977272727272727,0.000850340136054422,0.994285714285714,39
"cg50_2_7",0.005,2000,2,0.979591836734694,0.979591836734694,0.000850340136054422,0.998367346938775,27
"cg50_2_7",0.05,200,2,0.877551020408163,0.877551020408163,0.00510204081632653,0.990204081632653,41
"cg50_2_7",0.05,2000,2,0.979591836734694,0.905660377358491,0.00425170068027211,0.995102040816327,28
"cg50_2_8",0.005,200,2,0.822222222222222,1,0,0.993469387755102,35
"cg50_2_8",0.005,2000,2,1,1,0,1,16
"cg50_2_8",0.05,200,2,0.911111111111111,0.872340425531915,0.00508474576271186,0.991836734693878,31
"cg50_2_8",0.05,2000,2,1,0.865384615384615,0.00593220338983051,0.994285714285714,26
"cg50_2_9",0.005,200,2,0.893617021276596,1,0,0.995918367346939,30
"cg50_2_9",0.005,2000,2,1,0.979166666666667,0.000848896434634975,0.999183673469388,20
"cg50_2_9",0.05,200,2,0.914893617021277,0.914893617021277,0.0033955857385399,0.993469387755102,28
"cg50_2_9",0.05,2000,2,1,0.810344827586207,0.00933786078098472,0.991020408163265,28
"cg50_2_10",0.005,200,2,0.921052631578947,0.972222222222222,0.0008424599831508,0.996734693877551,24
"cg50_2_10",0.005,2000,2,1,1,0,1,17
"cg50_2_10",0.05,200,2,0.973684210526316,0.787234042553192,0.008424599831508,0.991020408163265,28
"cg50_2_10",0.05,2000,2,1,0.863636363636364,0.0050547598989048,0.995102040816327,22
"cg50_2_11",0.005,200,2,0.904761904761905,0.974358974358974,0.00084530853761623,0.995918367346939,24
"cg50_2_11",0.005,2000,2,1,1,0,1,13
"cg50_2_11",0.05,200,2,0.952380952380952,0.888888888888889,0.00422654268808115,0.994285714285714,22
"cg50_2_11",0.05,2000,2,1,0.84,0.00676246830092984,0.993469387755102,21
"cg50_2_12",0.005,200,2,0.8,1,0,0.991836734693878,36
"cg50_2_12",0.005,2000,2,0.96,1,0,0.998367346938775,17
"cg50_2_12",0.05,200,2,0.82,0.931818181818182,0.0025531914893617,0.990204081632653,37
"cg50_2_12",0.05,2000,2,0.96,0.923076923076923,0.00340425531914894,0.995102040816327,20
"cg50_2_13",0.005,200,2,0.807017543859649,1,0,0.991020408163265,40
"cg50_2_13",0.005,2000,2,0.947368421052632,0.964285714285714,0.00171232876712329,0.995918367346939,24
"cg50_2_13",0.05,200,2,0.894736842105263,0.927272727272727,0.00342465753424658,0.991836734693878,37
"cg50_2_13",0.05,2000,2,0.964912280701754,0.846153846153846,0.00856164383561644,0.990204081632653,30
"cg50_2_14",0.005,200,2,0.788461538461538,0.953488372093023,0.00170502983802217,0.989387755102041,40
"cg50_2_14",0.005,2000,2,1,0.981132075471698,0.000852514919011083,0.999183673469388,13
"cg50_2_14",0.05,200,2,0.865384615384615,0.9,0.00426257459505541,0.990204081632653,33
"cg50_2_14",0.05,2000,2,1,0.945454545454545,0.00255754475703325,0.997551020408163,14
"cg50_2_15",0.005,200,2,0.735294117647059,1,0,0.98530612244898,56
"cg50_2_15",0.005,2000,2,0.852941176470588,0.935483870967742,0.00345721694036301,0.988571428571429,44
"cg50_2_15",0.05,200,2,0.823529411764706,0.982456140350877,0.000864304235090752,0.989387755102041,45
"cg50_2_15",0.05,2000,2,0.882352941176471,0.895522388059702,0.00605012964563526,0.987755102040816,41
"cg50_2_16",0.005,200,2,0.549019607843137,0.96551724137931,0.000851788756388416,0.980408163265306,59
"cg50_2_16",0.005,2000,2,0.96078431372549,0.98,0.000851788756388416,0.997551020408163,32
"cg50_2_16",0.05,200,2,0.725490196078431,0.804347826086957,0.00766609880749574,0.981224489795918,51
"cg50_2_16",0.05,2000,2,0.980392156862745,0.78125,0.0119250425894378,0.987755102040816,44
"cg50_2_17",0.005,200,2,0.698412698412698,0.977777777777778,0.000860585197934596,0.983673469387755,57
"cg50_2_17",0.005,2000,2,0.920634920634921,0.983050847457627,0.000860585197934596,0.995102040816327,29
"cg50_2_17",0.05,200,2,0.793650793650794,0.925925925925926,0.00344234079173838,0.986122448979592,48
"cg50_2_17",0.05,2000,2,0.952380952380952,0.895522388059702,0.00602409638554217,0.991836734693878,29
"cg50_2_18",0.005,200,2,0.910714285714286,1,0,0.995918367346939,33
"cg50_2_18",0.005,2000,2,0.982142857142857,1,0,0.999183673469388,23
"cg50_2_18",0.05,200,2,0.910714285714286,0.962264150943396,0.00171086398631309,0.994285714285714,32
"cg50_2_18",0.05,2000,2,0.982142857142857,0.982142857142857,0.000855431993156544,0.998367346938775,24
"cg50_2_19",0.005,200,2,0.886363636363636,0.975,0.000846740050804403,0.995102040816327,28
"cg50_2_19",0.005,2000,2,1,1,0,1,18
"cg50_2_19",0.05,200,2,0.954545454545455,0.91304347826087,0.00338696020321761,0.995102040816327,27
"cg50_2_19",0.05,2000,2,1,0.897959183673469,0.00423370025402202,0.995918367346939,23
"cg50_2_20",0.005,200,2,0.71875,0.978723404255319,0.000861326442721792,0.984489795918367,61
"cg50_2_20",0.005,2000,2,0.90625,0.920634920634921,0.00430663221360896,0.991020408163265,34
"cg50_2_20",0.05,200,2,0.8125,0.912280701754386,0.00430663221360896,0.986122448979592,48
"cg50_2_20",0.05,2000,2,0.953125,0.953125,0.00258397932816537,0.995102040816327,24
"cg50_2_21",0.005,200,2,0.925,1,0,0.997551020408163,23
"cg50_2_21",0.005,2000,2,1,0.930232558139535,0.00253164556962025,0.997551020408163,15
"cg50_2_21",0.05,200,2,0.975,0.8125,0.00759493670886076,0.991836734693878,26
"cg50_2_21",0.05,2000,2,1,0.754716981132076,0.0109704641350211,0.989387755102041,23
"cg50_2_22",0.005,200,2,0.773584905660377,0.953488372093023,0.00170648464163823,0.988571428571429,44
"cg50_2_22",0.005,2000,2,0.905660377358491,0.923076923076923,0.00341296928327645,0.99265306122449,33
"cg50_2_22",0.05,200,2,0.849056603773585,0.803571428571429,0.00938566552901024,0.984489795918367,44
"cg50_2_22",0.05,2000,2,0.924528301886792,0.844827586206897,0.00767918088737201,0.989387755102041,34
"cg50_2_23",0.005,200,2,0.75,0.957446808510638,0.00171673819742489,0.986122448979592,58
"cg50_2_23",0.005,2000,2,0.95,0.982758620689655,0.000858369098712446,0.996734693877551,30
"cg50_2_23",0.05,200,2,0.85,0.910714285714286,0.00429184549356223,0.988571428571429,45
"cg50_2_23",0.05,2000,2,0.95,0.95,0.00257510729613734,0.995102040816327,33
"cg50_2_24",0.005,200,2,0.738095238095238,1,0,0.991020408163265,42
"cg50_2_24",0.005,2000,2,0.952380952380952,1,0,0.998367346938775,18
"cg50_2_24",0.05,200,2,0.857142857142857,0.73469387755102,0.010989010989011,0.984489795918367,39
"cg50_2_24",0.05,2000,2,0.952380952380952,0.851063829787234,0.00591715976331361,0.99265306122449,23
"cg50_2_25",0.005,200,2,0.813953488372093,0.972222222222222,0.000846023688663283,0.99265306122449,26
"cg50_2_25",0.005,2000,2,0.953488372093023,0.953488372093023,0.00169204737732657,0.996734693877551,17
"cg50_2_25",0.05,200,2,0.86046511627907,0.74,0.0109983079526227,0.984489795918367,33
"cg50_2_25",0.05,2000,2,1,0.716666666666667,0.0143824027072758,0.986122448979592,33
"cg50_2_26",0.005,200,2,0.840909090909091,1,0,0.994285714285714,33
"cg50_2_26",0.005,2000,2,0.954545454545455,0.954545454545455,0.00169348010160881,0.996734693877551,26
"cg50_2_26",0.05,200,2,0.886363636363636,0.847826086956522,0.00592718035563082,0.990204081632653,35
"cg50_2_26",0.05,2000,2,0.977272727272727,0.914893617021277,0.00338696020321761,0.995918367346939,25
"cg50_2_27",0.005,200,2,0.722222222222222,0.928571428571429,0.00256191289496157,0.98530612244898,50
"cg50_2_27",0.005,2000,2,0.944444444444444,1,0,0.997551020408163,20
"cg50_2_27",0.05,200,2,0.759259259259259,0.911111111111111,0.00341588385994876,0.986122448979592,44
"cg50_2_27",0.05,2000,2,0.962962962962963,0.945454545454545,0.00256191289496157,0.995918367346939,19
"cg50_2_28",0.005,200,2,0.82,0.976190476190476,0.000851063829787234,0.991836734693878,38
"cg50_2_28",0.005,2000,2,0.98,0.98,0.000851063829787234,0.998367346938775,22
"cg50_2_28",0.05,200,2,0.9,0.9,0.00425531914893617,0.991836734693878,35
"cg50_2_28",0.05,2000,2,0.98,0.924528301886792,0.00340425531914894,0.995918367346939,24
"cg50_2_29",0.005,200,2,0.905660377358491,1,0,0.995918367346939,28
"cg50_2_29",0.005,2000,2,0.981132075471698,0.962962962962963,0.00170648464163823,0.997551020408163,21
"cg50_2_29",0.05,200,2,0.943396226415094,0.892857142857143,0.00511945392491468,0.99265306122449,28
