name,pval,samplesize,degree,TPR,TDR,FPR,ACC,SHD
cg50_2_1,0.05,200,2,0.0,0.0,0.012682657843948167,0.9867732157619179,93.0
cg50_2_1,0.05,2000,2,0.0,0.0,0.015715467328370553,0.9842845326716294,103.0
cg50_2_1,0.005,200,2,0.0,0.0,0.00964984835952578,0.9868131868131869,82.0
cg50_2_1,0.005,2000,2,0.0,0.0,0.013509787703336091,0.9864902122966639,95.0
cg50_2_2,0.05,200,2,0.8,0.08333333333333333,0.012134583563154992,0.98760671991187,87.0
cg50_2_2,0.05,2000,2,0.6666666666666666,0.041666666666666664,0.0126861555432984,0.9870487737668779,89.0
cg50_2_2,0.005,200,2,0.1111111111111111,0.024390243902439025,0.011031439602868174,0.9867950481430536,83.0
cg50_2_2,0.005,2000,2,0.3333333333333333,0.044444444444444446,0.011858797573083288,0.9870594713656388,87.0
cg50_2_3,0.05,200,2,0.2857142857142857,0.038461538461538464,0.013819789939192924,0.9848275862068966,103.0
cg50_2_3,0.05,2000,2,0.0,0.0,0.01658374792703151,0.9834162520729685,113.0
cg50_2_3,0.005,200,2,0.06666666666666667,0.023255813953488372,0.011608623548922056,0.9845857418111753,96.0
cg50_2_3,0.005,2000,2,0.5,0.017857142857142856,0.015201768933112217,0.9845303867403314,108.0
cg50_2_4,0.05,200,2,1.0,0.03508771929824561,0.015189174261253798,0.9848192105989512,104.0
cg50_2_4,0.05,2000,2,1.0,0.03225806451612903,0.016570008285004142,0.9834391388352194,110.0
cg50_2_4,0.005,200,2,0.1111111111111111,0.021739130434782608,0.012427506213753107,0.9853994490358127,95.0
cg50_2_4,0.005,2000,2,0.5,0.018867924528301886,0.01436067384700359,0.9853712393044438,102.0
cg50_2_5,0.05,200,2,0.6666666666666666,0.08888888888888889,0.011300992282249173,0.9881673087506879,80.0
cg50_2_5,0.05,2000,2,1.0,0.0392156862745098,0.01350606394707828,0.9865013774104683,86.0
cg50_2_5,0.005,200,2,0.3,0.075,0.010198456449834619,0.9879054425508521,76.0
cg50_2_5,0.005,2000,2,1.0,0.0425531914893617,0.012403528114663727,0.987603305785124,83.0
cg50_2_6,0.05,200,2,0.0,0.0,0.012661712083677402,0.9873382879163226,87.0
cg50_2_6,0.05,2000,2,1.0,0.022727272727272728,0.011835948252133223,0.9881673087506879,83.0
cg50_2_6,0.005,200,2,0.0,0.0,0.010734929810074319,0.9884488448844885,80.0
cg50_2_6,0.005,2000,2,0.0,0.0,0.011560693641618497,0.9884393063583815,83.0
cg50_2_7,0.05,200,2,0.0,0.0,0.0126861555432984,0.9864976577569579,91.0
cg50_2_7,0.05,2000,2,0.0,0.0,0.014340871483728626,0.9856591285162714,97.0
cg50_2_7,0.005,200,2,0.0,0.0,0.012134583563154992,0.9865050950151474,89.0
cg50_2_7,0.005,2000,2,0.0,0.0,0.013513513513513514,0.9864864864864865,94.0
cg50_2_8,0.05,200,2,1.0,0.06521739130434782,0.011845730027548209,0.9881640517478668,83.0
cg50_2_8,0.05,2000,2,0.0,0.0,0.014325068870523415,0.9856749311294766,91.0
cg50_2_8,0.005,200,2,0.1111111111111111,0.02702702702702703,0.009917355371900827,0.9879087661445453,77.0
cg50_2_8,0.005,2000,2,1.0,0.022222222222222223,0.012121212121212121,0.9878821261360506,83.0
cg50_2_9,0.05,200,2,0.3333333333333333,0.022222222222222223,0.012127894156560088,0.9873313136876893,90.0
cg50_2_9,0.05,2000,2,0.0,0.0,0.01515986769570011,0.9848401323042999,102.0
cg50_2_9,0.005,200,2,0.0,0.0,0.011576626240352812,0.9870630333058079,89.0
cg50_2_9,0.005,2000,2,0.0,0.0,0.013230429988974642,0.9867695700110254,95.0
cg50_2_10,0.05,200,2,1.0,0.02127659574468085,0.012647786637338466,0.9873556899395272,81.0
cg50_2_10,0.05,2000,2,1.0,0.06976744186046512,0.010998075336816057,0.989010989010989,73.0
cg50_2_10,0.005,200,2,0.5,0.05555555555555555,0.009348364036293648,0.9901126064268059,69.0
cg50_2_10,0.005,2000,2,1.0,0.05263157894736842,0.009898267803134452,0.9901071723000825,71.0
cg50_2_11,0.05,200,2,1.0,0.022222222222222223,0.01211120286264795,0.9878921298844249,85.0
cg50_2_11,0.05,2000,2,1.0,0.02,0.01348747591522158,0.9865162355531095,90.0
cg50_2_11,0.005,200,2,0.0,0.0,0.010734929810074319,0.9884488448844885,80.0
cg50_2_11,0.005,2000,2,0.0,0.0,0.01128543903110377,0.988442487616951,82.0
cg50_2_12,0.05,200,2,0.0,0.0,0.012137931034482758,0.9862296887909667,93.0
cg50_2_12,0.05,2000,2,0.0,0.0,0.013241379310344827,0.9862145023435346,97.0
